"Áp dụng đến 30/6: đi textlink home tặng chuyên mục cùng site, cùng thời gian (trừ chuyên mục kinhte, kinhdoanh, batdongsan các site) STT","URL","Đơn vị","Trafic/tháng","DA","PA","DR","Link Home 3-6-12 tháng","Link CM 3-6-12 tháng","Link fullsite 3-6-12 tháng","","","","","","","","","","","","","","","","",""
"1","https://hanoitimes.vn/","Báo điện tử Pháp luật và xã hội","101.000","44","51","53","700.000 - 900.000 - 1.100.000","500.000 - 600.000 - 700.000","1.000.000 - 1.200.000 1.400.000","","","","","","","","","","","","","","","","",""
"2","https://thieunien.vn/","Trung ương Đoàn TNCS Hồ Chí Minh","56.000","46","36","45","700.000 - 900.000 - 1.100.000","500.000 - 600.000 - 700.000","1.000.000 - 1.200.000 1.400.000","","","","","","","","","","","","","","","","",""
"3","https://thanhnienviet.vn/","Tạp chí điện tử thanhnienviet.vn","52.000","55","46","51","700.000 - 900.000 - 1.100.000","500.000 - 600.000 - 700.000","1.000.000 - 1.200.000 1.400.000","","","","","","","","","","","","","","","","",""
"4","https://tapchinghiencuuphathoc.vn/","Tạp chí nghiên cứu Phật học","78.000","49","57","54","700.000 - 900.000 - 1.100.000","500.000 - 600.000 - 700.000","1.000.000 - 1.200.000 1.400.000","","","","","","","","","","","","","","","","",""
"5","https://www.phunuvagiadinh.vn","TẠP CHÍ ĐIỆN TỬ PHỤ NỮ VÀ GIA ĐÌNH","135.000","43","48","53","700.000 - 900.000 - 1.100.000","500.000 - 600.000 - 700.000","1.000.000 - 1.200.000 1.400.000","","","","","","","","","","","","","","","","",""
"6","https://reatimes.vn/","Hiệp hội Bất động sản Việt Nam (VNREA)","89.000","55","58","51","700.000 - 900.000 - 1.100.000","500.000 - 600.000 - 700.000","1.000.000 - 1.200.000 1.400.000","","","","","","","","","","","","","","","","",""
"7","https://doanhnghiephoinhap.vn/","TẠP CHÍ ĐIỆN TỬ DOANH NGHIỆP VÀ HỘI NHẬP","880.000","66","58","54","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"8","https://baothainguyen.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Thái Nguyên","400.000","44","34","34","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"9","https://huengaynay.vn/","Cơ quan của đảng bộ ĐCS VN Tỉnh Thừa Thiên Huế","300.000","37","61","34","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"10","https://baocamau.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Cà Mau","150.000","32","29","34","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"11","https://baotuyenquang.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Tuyên Quang","270.000","46","65","57","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"12","https://baogialai.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Gia Lai","210.000","19","20","29","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"13","https://nguoidothi.net.vn/","Tạp chí điện tử Người Đô Thị","322.000","30","29","31","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"14","https://baolangson.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Lạng Sơn","350.000","40","33","34","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"15","https://baolaocai.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Lào Cai","290.000","50","70","49","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"16","https://baoangiang.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh An Giang","780.000","40","46","53","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"17","https://baocantho.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Cần Thơ","1.300.000","50","45","64","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"18","https://truyenhinhnghean.vn/","Đài phát thanh truyền hình Nghệ An","470.000","43","59","51","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"19","https://thuonghieucongluan.com.vn/","Tạp chí điện tử Thương hiệu và Công luận ","365.000","55","51","57","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"20","https://baovanhoa.vn/","Báo điện tử Báo Văn Hoá","597.000","45","67","55","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"21","https://tapchitoaan.vn/","Tạp chí điện tử Toà án nhân dân","339.000","55","65","61","1.500.000 - 1.800.000 - 2.500.000","500.000 - 600.000 - 700.000","2.500.000 - 3.500.000 - 4.500.000","","","","","","","","","","","","","","","","",""
"22","https://baodanang.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Đà Nẵng","2.330.000","36","32","39","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"23","https://baodongnai.com.vn/","Cơ quan của đảng bộ ĐCS VN tỉnh Đồng Nai","1.600.000","27","34","48","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"24","https://giaoducthoidai.vn/","Cơ quan của Bộ Kế hoạch","7.000.000","24","33","21","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"25","https://baophapluat.vn/","Báo điện tử Pháp luật Việt Nam","2.600.000","50","70","49","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"26","https://vnreview.vn/","CÔNG TY TNHH VIỆT NAM ĐÁNH GIÁ","1.400.000","50","57","65","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"27","https://home.vn/","CÔNG TY TNHH VIỆT NAM ĐÁNH GIÁ","2.200.000","54","57","62","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"28","https://congly.vn/","Cơ quan ngôn luận toà án nhân dân tối cao","2.300.000","43","56","59","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"29","https://www.anninhthudo.vn/","Cơ quan công an thành phố Hà Nội","4.000.000","52","64","47","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""
"30","https://hanoimoi.vn/","Báo điện tử Hà Nội Mới","2.100.000","64","55","59","3.000.000 - 3.500.000 - 4.000.000","700.000 - 800.000 - 900.000","4.000.000 - 5.000.000 - 6.000.000","","","","","","","","","","","","","","","","",""